location_id,short_name,lead_hours,value_old,value_new,absolute_difference,tolerance,within_tolerance
binh_dinh_grid_013,2d,204,296.102783203125,296.10284423828125,6.103515625e-05,0.001,True
binh_dinh_grid_014,2d,204,297.07989501953125,297.07989501953125,0.0,0.001,True
binh_dinh_grid_016,2d,204,296.30487060546875,296.30487060546875,0.0,0.001,True
binh_dinh_grid_010,2t,204,300.0202941894531,300.0203857421875,9.1552734375e-05,0.001,True
binh_dinh_grid_011,2t,204,301.0045471191406,301.0045166015625,3.0517578125e-05,0.001,True
binh_dinh_grid_013,2t,204,298.1322326660156,298.1322021484375,3.0517578125e-05,0.001,True
binh_dinh_grid_014,2t,204,300.4833068847656,300.4832763671875,3.0517578125e-05,0.001,True
binh_dinh_grid_016,2t,204,297.5343322753906,297.5343017578125,3.0517578125e-05,0.001,True
binh_dinh_grid_010,sp,204,99659.2265625,99659.2578125,0.03125,0.2,True
binh_dinh_grid_011,sp,204,99580.9765625,99581.0078125,0.03125,0.2,True
binh_dinh_grid_013,sp,204,97470.7265625,97470.7578125,0.03125,0.2,True
binh_dinh_grid_014,sp,204,99740.1015625,99740.1328125,0.03125,0.2,True
binh_dinh_grid_016,sp,204,97288.9765625,97289.0078125,0.03125,0.2,True
binh_dinh_grid_010,tcc,204,99.99999237060547,99.99964904785156,0.00034332275390625,0.005,True
binh_dinh_grid_011,tcc,204,99.99999237060547,99.99964904785156,0.00034332275390625,0.005,True
binh_dinh_grid_013,tcc,204,99.99999237060547,99.99964904785156,0.00034332275390625,0.005,True
binh_dinh_grid_014,tcc,204,99.99999237060547,99.99964904785156,0.00034332275390625,0.005,True
binh_dinh_grid_016,tcc,204,99.99999237060547,99.99964904785156,0.00034332275390625,0.005,True
binh_dinh_grid_010,ssr,204,107650720.0,107650720.0,0.0,2048.0,True
binh_dinh_grid_011,ssr,204,141333152.0,141333152.0,0.0,2048.0,True
binh_dinh_grid_013,ssr,204,111213216.0,111213216.0,0.0,2048.0,True
binh_dinh_grid_014,ssr,204,144484000.0,144484000.0,0.0,2048.0,True
binh_dinh_grid_016,ssr,204,118327968.0,118327968.0,0.0,2048.0,True
binh_dinh_grid_010,tp,204,24.32583522796631,24.325831413269043,3.814697265625e-06,0.0001,True
binh_dinh_grid_011,tp,204,22.395997047424316,22.39599895477295,1.9073486328125e-06,0.0001,True
binh_dinh_grid_013,tp,204,31.17233371734619,31.172335624694824,1.9073486328125e-06,0.0001,True
binh_dinh_grid_014,tp,204,19.29158878326416,19.291590690612793,1.9073486328125e-06,0.0001,True
binh_dinh_grid_016,tp,204,39.07535648345947,39.075358390808105,1.9073486328125e-06,0.0001,True
binh_dinh_grid_010,10u,210,9.249234199523926,9.249091506004333,0.00014269351959228516,0.001,True
binh_dinh_grid_011,10u,210,6.124478340148926,6.1245797872543335,0.00010144710540771484,0.001,True
binh_dinh_grid_013,10u,210,6.749478340148926,6.7495797872543335,0.00010144710540771484,0.001,True
binh_dinh_grid_014,10u,210,7.597500801086426,7.5974801778793335,2.0623207092285156e-05,0.001,True
binh_dinh_grid_016,10u,210,6.408169746398926,6.4082711935043335,0.00010144710540771484,0.001,True
binh_dinh_grid_010,10v,210,1.8461236953735352,1.8461130261421204,1.0669231414794922e-05,0.001,True
binh_dinh_grid_011,10v,210,2.609612464904785,2.6096628308296204,5.036592483520508e-05,0.001,True
binh_dinh_grid_013,10v,210,2.882134437561035,2.8821237683296204,1.0669231414794922e-05,0.001,True
binh_dinh_grid_014,10v,210,2.226922035217285,2.2269724011421204,5.036592483520508e-05,0.001,True
binh_dinh_grid_016,10v,210,2.539483070373535,2.5394724011421204,1.0669231414794922e-05,0.001,True
binh_dinh_grid_010,2d,210,296.3042297363281,296.3042297363281,0.0,0.001,True
binh_dinh_grid_011,2d,210,296.649658203125,296.6496887207031,3.0517578125e-05,0.001,True
binh_dinh_grid_013,2d,210,295.92578125,295.9257507324219,3.0517578125e-05,0.001,True
binh_dinh_grid_014,2d,210,296.35369873046875,296.3537292480469,3.0517578125e-05,0.001,True
binh_dinh_grid_016,2d,210,295.57293701171875,295.5729064941406,3.0517578125e-05,0.001,True
binh_dinh_grid_010,2t,210,300.4590148925781,300.45904541015625,3.0517578125e-05,0.001,True
binh_dinh_grid_011,2t,210,300.7860412597656,300.78594970703125,9.1552734375e-05,0.001,True
binh_dinh_grid_013,2t,210,298.9404602050781,298.94049072265625,3.0517578125e-05,0.001,True
binh_dinh_grid_014,2t,210,301.2652893066406,301.26519775390625,9.1552734375e-05,0.001,True
binh_dinh_grid_016,2t,210,298.7311096191406,298.73101806640625,9.1552734375e-05,0.001,True
binh_dinh_grid_010,sp,210,99448.6484375,99448.6640625,0.015625,0.2,True
binh_dinh_grid_011,sp,210,99424.2734375,99424.2890625,0.015625,0.2,True
binh_dinh_grid_013,sp,210,97278.1484375,97278.1640625,0.015625,0.2,True
binh_dinh_grid_014,sp,210,99558.4609375,99558.5390625,0.078125,0.2,True
binh_dinh_grid_016,sp,210,97139.8984375,97139.9140625,0.015625,0.2,True
binh_dinh_grid_010,tcc,210,84.58047103881836,84.58052062988281,4.9591064453125e-05,0.005,True
binh_dinh_grid_011,tcc,210,75.50918197631836,75.50923156738281,4.9591064453125e-05,0.005,True
binh_dinh_grid_013,tcc,210,99.97695541381836,99.97700500488281,4.9591064453125e-05,0.005,True
binh_dinh_grid_014,tcc,210,94.20742416381836,94.20747375488281,4.9591064453125e-05,0.005,True
binh_dinh_grid_016,tcc,210,100.00039291381836,100.00044250488281,4.9591064453125e-05,0.005,True
binh_dinh_grid_010,ssr,210,107650720.0,107650720.0,0.0,2048.0,True
binh_dinh_grid_011,ssr,210,141333152.0,141333152.0,0.0,2048.0,True
binh_dinh_grid_013,ssr,210,111213216.0,111213216.0,0.0,2048.0,True
binh_dinh_grid_014,ssr,210,144484000.0,144484000.0,0.0,2048.0,True
binh_dinh_grid_016,ssr,210,118327968.0,118327968.0,0.0,2048.0,True
binh_dinh_grid_010,tp,210,25.35775852203369,25.357760429382324,1.9073486328125e-06,0.0001,True
binh_dinh_grid_011,tp,210,22.96199131011963,22.96199321746826,1.9073486328125e-06,0.0001,True
binh_dinh_grid_013,tp,210,32.4304723739624,32.43047618865967,3.814697265625e-06,0.0001,True
binh_dinh_grid_014,tp,210,20.52451992034912,20.524516105651855,3.814697265625e-06,0.0001,True
binh_dinh_grid_016,tp,210,40.670424461364746,40.67042827606201,3.814697265625e-06,0.0001,True
binh_dinh_grid_010,10u,216,8.518758058547974,8.518825381994247,6.732344627380371e-05,0.001,True
binh_dinh_grid_011,10u,216,4.812337160110474,4.812282413244247,5.474686622619629e-05,0.001,True
binh_dinh_grid_013,10u,216,7.300618410110474,7.300563663244247,5.474686622619629e-05,0.001,True
binh_dinh_grid_014,10u,216,5.057332277297974,5.057399600744247,6.732344627380371e-05,0.001,True
binh_dinh_grid_016,10u,216,7.748128175735474,7.748073428869247,5.474686622619629e-05,0.001,True
binh_dinh_grid_010,10v,216,2.3404977321624756,2.3405039310455322,6.198883056640625e-06,0.001,True
binh_dinh_grid_011,10v,216,2.4875924587249756,2.4875986576080322,6.198883056640625e-06,0.001,True
binh_dinh_grid_013,10v,216,2.1897408962249756,2.1897470951080322,6.198883056640625e-06,0.001,True
binh_dinh_grid_014,10v,216,1.9457833766937256,1.9457285404205322,5.4836273193359375e-05,0.001,True
binh_dinh_grid_016,10v,216,2.5380685329437256,2.5380136966705322,5.4836273193359375e-05,0.001,True
binh_dinh_grid_010,2d,216,296.0024108886719,296.00244140625,3.0517578125e-05,0.001,True
binh_dinh_grid_011,2d,216,296.5299987792969,296.52996826171875,3.0517578125e-05,0.001,True
binh_dinh_grid_013,2d,216,295.3215637207031,295.32159423828125,3.0517578125e-05,0.001,True
binh_dinh_grid_014,2d,216,296.0599060058594,296.05987548828125,3.0517578125e-05,0.001,True
binh_dinh_grid_016,2d,216,295.0224304199219,295.0224609375,3.0517578125e-05,0.001,True
binh_dinh_grid_010,2t,216,301.27545166015625,301.275390625,6.103515625e-05,0.001,True
binh_dinh_grid_011,2t,216,301.40093994140625,301.40087890625,6.103515625e-05,0.001,True
binh_dinh_grid_013,2t,216,299.2696533203125,299.26953125,0.0001220703125,0.001,True
binh_dinh_grid_014,2t,216,301.69610595703125,301.696044921875,6.103515625e-05,0.001,True
binh_dinh_grid_016,2t,216,298.9295654296875,298.9296875,0.0001220703125,0.001,True
binh_dinh_grid_010,sp,216,99438.5234375,99438.5078125,0.015625,0.2,True
binh_dinh_grid_011,sp,216,99457.2734375,99457.2578125,0.015625,0.2,True
binh_dinh_grid_013,sp,216,97254.7734375,97254.7578125,0.015625,0.2,True
binh_dinh_grid_014,sp,216,99613.7734375,99613.7578125,0.015625,0.2,True
binh_dinh_grid_016,sp,216,97064.3984375,97064.3828125,0.015625,0.2,True
binh_dinh_grid_010,tcc,216,99.91901397705078,99.91902923583984,1.52587890625e-05,0.005,True
binh_dinh_grid_011,tcc,216,99.51473236083984,99.51473236083984,0.0,0.005,True
binh_dinh_grid_013,tcc,216,99.98634338378906,99.98628997802734,5.340576171875e-05,0.005,True
binh_dinh_grid_014,tcc,216,99.67218780517578,99.67220306396484,1.52587890625e-05,0.005,True
binh_dinh_grid_016,tcc,216,100.0,99.99996185302734,3.814697265625e-05,0.005,True
binh_dinh_grid_010,ssr,216,107893072.0,107893072.0,0.0,2048.0,True
binh_dinh_grid_011,ssr,216,141711696.0,141711696.0,0.0,2048.0,True
binh_dinh_grid_013,ssr,216,111359312.0,111359312.0,0.0,2048.0,True
binh_dinh_grid_014,ssr,216,144701776.0,144701776.0,0.0,2048.0,True
binh_dinh_grid_016,ssr,216,118414672.0,118414672.0,0.0,2048.0,True
binh_dinh_grid_010,tp,216,25.414114952087402,25.414118766784668,3.814697265625e-06,0.0001,True
binh_dinh_grid_011,tp,216,23.011378288269043,23.011378288269043,0.0,0.0001,True
binh_dinh_grid_013,tp,216,32.808106422424316,32.80810832977295,1.9073486328125e-06,0.0001,True
binh_dinh_grid_014,tp,216,20.53096103668213,20.53096294403076,1.9073486328125e-06,0.0001,True
binh_dinh_grid_016,tp,216,40.90525531768799,40.905253410339355,1.9073486328125e-06,0.0001,True
binh_dinh_grid_010,10u,222,4.002578616142273,4.002689599990845,0.00011098384857177734,0.001,True
binh_dinh_grid_011,10u,222,3.712539553642273,3.7124063968658447,0.00013315677642822266,0.001,True
